state,"2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020"
Alabama,"55,440","55,940","56,010","60,250","53,070","55,920","58,800","62,250","59,900","66,430","63,980"
Alaska,"78,340","75,440","82,020","92,270","84,900","94,360","94,290","95,440","82,450","92,670","87,440"
Arizona,"63,510","63,860","60,620","66,980","61,830","65,640","71,100","73,060","74,710","83,540","78,480"
Arkansas,"52,260","54,250","50,280","50,130","56,390","53,770","57,170","60,880","59,720","64,470","59,400"
California,"73,520","70,100","73,480","77,400","75,930","79,940","82,980","85,710","84,560","92,330","90,840"
Colorado,"81,570","77,010","73,780","86,470","76,500","83,660","87,870","91,760","87,610","85,700","98,010"
Connecticut,"89,380","85,920","82,790","88,220","88,080","91,570","94,540","90,930","87,340","103,200","92,930"
Delaware,"74,780","71,800","63,110","68,870","72,210","72,560","72,280","79,500","77,990","87,700","81,920"
District of Columbia,"77,100","72,570","84,080","76,460","85,710","88,030","88,390","99,470","102,900","110,100","103,200"
Florida,"59,680","59,250","59,370","61,790","57,920","61,340","63,730","64,960","65,550","69,000","67,570"
Georgia,"59,750","60,390","62,010","59,830","62,210","63,780","66,650","70,960","66,960","66,940","69,330"
Hawaii,"80,630","77,560","72,500","81,780","89,410","81,050","89,820","90,070","96,100","104,000","94,560"
Idaho,"63,720","62,340","61,750","61,710","67,080","64,850","70,440","72,810","70,450","78,000","78,060"
Illinois,"68,700","66,510","66,670","68,670","68,940","75,900","76,440","80,730","84,140","87,950","86,960"
Indiana,"62,490","58,380","59,480","62,970","60,330","65,310","69,850","71,920","71,850","78,840","78,150"
Iowa,"66,380","65,960","68,870","76,590","72,570","76,450","73,590","77,670","82,430","78,080","80,510"
Kansas,"62,370","60,610","64,440","60,880","67,090","68,930","70,740","69,630","76,700","86,470","85,500"
Kentucky,"55,670","52,350","52,940","57,140","53,710","53,250","56,500","60,790","65,440","65,800","66,400"
Louisiana,"53,220","53,400","50,370","59,110","53,230","57,690","52,540","53,310","59,950","61,120","59,880"
Maine,"64,910","65,270","63,350","69,970","64,910","63,760","63,330","65,240","70,370","78,660","74,510"
Maryland,"86,950","90,470","92,570","88,300","95,610","92,450","91,850","100,500","103,400","113,000","110,900"
Massachusetts,"82,520","83,160","82,030","79,610","79,280","85,250","89,990","93,300","103,600","103,700","102,700"
Michigan,"62,670","64,200","64,450","72,020","65,280","68,090","71,090","69,030","72,510","75,790","75,330"
Minnesota,"70,860","75,950","79,630","81,900","84,410","86,340","87,440","85,630","86,150","96,250","92,130"
Mississippi,"51,680","53,970","47,220","41,170","44,590","50,300","51,180","52,960","51,320","52,940","52,800"
Missouri,"62,050","60,120","64,130","58,950","71,090","74,370","68,510","69,180","74,050","71,630","72,740"
Montana,"55,910","52,900","58,100","55,000","64,150","64,570","71,070","70,250","69,190","71,150","66,380"
Nebraska,"71,110","73,050","67,260","73,370","71,390","75,970","73,930","72,910","81,060","86,370","84,520"
Nevada,"69,340","61,790","61,000","66,010","62,610","65,340","69,020","71,030","74,210","83,820","71,550"
New Hampshire,"90,240","86,530","87,390","87,980","92,140","95,070","94,960","92,550","97,580","102,700","104,000"
New Jersey,"85,280","81,880","85,940","81,170","81,900","85,880","85,260","87,180","88,980","103,700","100,100"
New Mexico,"61,120","55,140","55,960","51,140","58,610","56,680","60,330","55,800","57,920","62,780","59,550"
New York,"67,420","66,510","61,440","63,620","68,180","72,870","76,500","75,310","80,700","84,940","80,320"
North Carolina,"59,360","59,380","53,550","59,000","58,730","63,820","66,950","60,630","64,020","72,290","70,700"
North Dakota,"69,080","74,030","71,860","75,310","76,240","72,130","74,940","73,630","79,780","82,780","75,010"
Ohio,"62,140","58,650","57,180","64,610","62,320","66,960","67,220","74,270","73,930","76,440","70,640"
Oklahoma,"58,370","63,650","62,380","58,770","59,250","59,140","63,440","63,490","65,300","70,210","61,380"
Oregon,"68,530","67,680","66,720","62,390","73,910","76,420","73,640","76,480","82,970","87,960","89,910"
Pennsylvania,"65,430","65,560","66,890","70,220","69,260","75,870","75,930","75,000","77,400","83,430","82,810"
Rhode Island,"69,910","64,410","72,250","71,710","73,600","69,980","76,620","80,030","74,690","82,920","93,790"
South Carolina,"56,470","52,650","57,220","55,460","56,400","58,240","67,660","66,740","68,910","73,320","70,590"
South Dakota,"61,420","62,030","63,680","68,010","66,600","69,180","71,540","69,650","71,330","75,950","82,110"
Tennessee,"52,260","55,530","55,400","55,210","54,880","59,460","63,940","67,680","67,250","66,940","64,310"
Texas,"64,010","64,420","66,910","65,450","67,630","70,950","72,410","73,540","71,720","79,720","80,020"
Utah,"76,790","72,890","75,180","77,730","79,570","83,240","84,030","85,400","92,450","99,910","98,260"
Vermont,"75,740","68,120","71,620","83,410","76,210","74,740","75,760","77,930","84,050","87,830","78,680"
Virginia,"81,750","82,250","83,290","83,910","83,050","77,240","82,750","86,650","92,550","96,120","96,180"
Washington,"76,060","74,670","80,140","81,390","74,150","84,480","87,550","87,550","95,640","97,470","95,180"
West Virginia,"57,930","54,930","56,120","54,840","49,650","53,800","55,230","57,460","60,670","63,480","60,800"
Wisconsin,"68,190","68,380","68,400","65,860","72,910","69,630","74,490","77,690","75,130","79,620","78,860"
Wyoming,"70,700","71,600","74,110","85,870","69,910","76,540","72,010","72,860","75,020","76,990","76,570"
