state,year,income
Alabama,2010,55440
Alaska,2010,78340
Arizona,2010,63510
Arkansas,2010,52260
California,2010,73520
Colorado,2010,81570
Connecticut,2010,89380
Delaware,2010,74780
District of Columbia,2010,77100
Florida,2010,59680
Georgia,2010,59750
Hawaii,2010,80630
Idaho,2010,63720
Illinois,2010,68700
Indiana,2010,62490
Iowa,2010,66380
Kansas,2010,62370
Kentucky,2010,55670
Louisiana,2010,53220
Maine,2010,64910
Maryland,2010,86950
Massachusetts,2010,82520
Michigan,2010,62670
Minnesota,2010,70860
Mississippi,2010,51680
Missouri,2010,62050
Montana,2010,55910
Nebraska,2010,71110
Nevada,2010,69340
New Hampshire,2010,90240
New Jersey,2010,85280
New Mexico,2010,61120
New York,2010,67420
North Carolina,2010,59360
North Dakota,2010,69080
Ohio,2010,62140
Oklahoma,2010,58370
Oregon,2010,68530
Pennsylvania,2010,65430
Rhode Island,2010,69910
South Carolina,2010,56470
South Dakota,2010,61420
Tennessee,2010,52260
Texas,2010,64010
Utah,2010,76790
Vermont,2010,75740
Virginia,2010,81750
Washington,2010,76060
West Virginia,2010,57930
Wisconsin,2010,68190
Wyoming,2010,70700
Alabama,2011,55940
Alaska,2011,75440
Arizona,2011,63860
Arkansas,2011,54250
California,2011,70100
Colorado,2011,77010
Connecticut,2011,85920
Delaware,2011,71800
District of Columbia,2011,72570
Florida,2011,59250
Georgia,2011,60390
Hawaii,2011,77560
Idaho,2011,62340
Illinois,2011,66510
Indiana,2011,58380
Iowa,2011,65960
Kansas,2011,60610
Kentucky,2011,52350
Louisiana,2011,53400
Maine,2011,65270
Maryland,2011,90470
Massachusetts,2011,83160
Michigan,2011,64200
Minnesota,2011,75950
Mississippi,2011,53970
Missouri,2011,60120
Montana,2011,52900
Nebraska,2011,73050
Nevada,2011,61790
New Hampshire,2011,86530
New Jersey,2011,81880
New Mexico,2011,55140
New York,2011,66510
North Carolina,2011,59380
North Dakota,2011,74030
Ohio,2011,58650
Oklahoma,2011,63650
Oregon,2011,67680
Pennsylvania,2011,65560
Rhode Island,2011,64410
South Carolina,2011,52650
South Dakota,2011,62030
Tennessee,2011,55530
Texas,2011,64420
Utah,2011,72890
Vermont,2011,68120
Virginia,2011,82250
Washington,2011,74670
West Virginia,2011,54930
Wisconsin,2011,68380
Wyoming,2011,71600
Alabama,2012,56010
Alaska,2012,82020
Arizona,2012,60620
Arkansas,2012,50280
California,2012,73480
Colorado,2012,73780
Connecticut,2012,82790
Delaware,2012,63110
District of Columbia,2012,84080
Florida,2012,59370
Georgia,2012,62010
Hawaii,2012,72500
Idaho,2012,61750
Illinois,2012,66670
Indiana,2012,59480
Iowa,2012,68870
Kansas,2012,64440
Kentucky,2012,52940
Louisiana,2012,50370
Maine,2012,63350
Maryland,2012,92570
Massachusetts,2012,82030
Michigan,2012,64450
Minnesota,2012,79630
Mississippi,2012,47220
Missouri,2012,64130
Montana,2012,58100
Nebraska,2012,67260
Nevada,2012,61000
New Hampshire,2012,87390
New Jersey,2012,85940
New Mexico,2012,55960
New York,2012,61440
North Carolina,2012,53550
North Dakota,2012,71860
Ohio,2012,57180
Oklahoma,2012,62380
Oregon,2012,66720
Pennsylvania,2012,66890
Rhode Island,2012,72250
South Carolina,2012,57220
South Dakota,2012,63680
Tennessee,2012,55400
Texas,2012,66910
Utah,2012,75180
Vermont,2012,71620
Virginia,2012,83290
Washington,2012,80140
West Virginia,2012,56120
Wisconsin,2012,68400
Wyoming,2012,74110
Alabama,2013,60250
Alaska,2013,92270
Arizona,2013,66980
Arkansas,2013,50130
California,2013,77400
Colorado,2013,86470
Connecticut,2013,88220
