year,state,deaths,population,pdmp_implemented
2010.0,alabama,194,4779736.0,1
2011.0,alabama,180,4802740.0,1
2012.0,alabama,175,4822023.0,1
2013.0,alabama,175,4833722.0,1
2014.0,alabama,282,4849377.0,1
2015.0,alabama,292,4858979.0,1
2016.0,alabama,351,4863300.0,1
2017.0,alabama,434,4874747.0,1
2018.0,alabama,392,4887871.0,1
2019.0,alabama,427,4903185.0,1
2020.0,alabama,629,4921532.0,1
2010.0,alaska,71,710231.0,0
2011.0,alaska,72,722718.0,1
2012.0,alaska,81,731449.0,1
2013.0,alaska,69,735132.0,1
2014.0,alaska,79,736732.0,1
2015.0,alaska,92,738432.0,1
2016.0,alaska,101,741894.0,1
2017.0,alaska,109,739795.0,1
2018.0,alaska,82,737438.0,1
2019.0,alaska,100,731545.0,1
2020.0,alaska,123,731158.0,1
2010.0,arizona,650,6392017.0,1
2011.0,arizona,596,6482505.0,1
2012.0,arizona,565,6553255.0,1
2013.0,arizona,545,6626624.0,1
2014.0,arizona,616,6731484.0,1
2015.0,arizona,701,6828065.0,1
2016.0,arizona,806,6931071.0,1
2017.0,arizona,970,7016270.0,1
2018.0,arizona,1159,7171646.0,1
2019.0,arizona,1324,7278717.0,1
2020.0,arizona,1952,7421401.0,1
2010.0,arkansas,198,2915918.0,0
2011.0,arkansas,176,2937979.0,0
2012.0,arkansas,181,2949131.0,0
2013.0,arkansas,175,2959373.0,1
2014.0,arkansas,179,2966369.0,1
2015.0,arkansas,208,2978204.0,1
2016.0,arkansas,175,2988248.0,1
2017.0,arkansas,200,3004279.0,1
2018.0,arkansas,217,3013825.0,1
2019.0,arkansas,208,3017804.0,1
2020.0,arkansas,292,3030522.0,1
2010.0,california,2059,37253956.0,1
2011.0,california,2057,37691912.0,1
2012.0,california,1847,38041430.0,1
2013.0,california,2088,38332521.0,1
2014.0,california,2159,38802500.0,1
2015.0,california,2130,39144818.0,1
2016.0,california,2146,39250017.0,1
2017.0,california,2341,39536653.0,1
2018.0,california,2544,39557045.0,1
2019.0,california,3364,39512223.0,1
2020.0,california,5664,39368078.0,1
2010.0,colorado,325,5029196.0,1
2011.0,colorado,423,5116796.0,1
2012.0,colorado,415,5187582.0,1
2013.0,colorado,443,5268367.0,1
2014.0,colorado,532,5355866.0,1
2015.0,colorado,512,5456574.0,1
2016.0,colorado,560,5540545.0,1
2017.0,colorado,600,5607154.0,1
2018.0,colorado,602,5695564.0,1
2019.0,colorado,676,5758736.0,1
2020.0,colorado,1012,5807719.0,1
2010.0,connecticut,225,3574097.0,1
2011.0,connecticut,213,3580709.0,1
2012.0,connecticut,202,3590347.0,1
2013.0,connecticut,442,3596080.0,1
2014.0,connecticut,531,3596677.0,1
2015.0,connecticut,692,3590886.0,1
2016.0,connecticut,868,3576452.0,1
