state,year,naloxone_access
Alabama,2010,0
Alabama,2011,0
Alabama,2012,0
Alabama,2013,0
Alabama,2014,0
Alabama,2015,1
Alabama,2016,1
Alabama,2017,0
Alabama,2018,0
Alabama,2019,0
Alabama,2020,0
Alabama,2021,0
Alabama,2022,0
Alaska,2010,0
Alaska,2011,0
Alaska,2012,0
Alaska,2013,0
Alaska,2014,0
Alaska,2015,0
Alaska,2016,1
Alaska,2017,1
Alaska,2018,1
Alaska,2019,1
Alaska,2020,0
Alaska,2021,1
Alaska,2022,0
Arizona,2010,0
Arizona,2011,0
Arizona,2012,0
Arizona,2013,0
Arizona,2014,0
Arizona,2015,0
Arizona,2016,1
Arizona,2017,1
Arizona,2018,1
Arizona,2019,1
Arizona,2020,0
Arizona,2021,0
Arizona,2022,0
Arkansas,2010,0
Arkansas,2011,0
Arkansas,2012,0
Arkansas,2013,0
Arkansas,2014,0
Arkansas,2015,1
Arkansas,2016,0
Arkansas,2017,1
Arkansas,2018,0
Arkansas,2019,1
Arkansas,2020,0
Arkansas,2021,1
Arkansas,2022,1
California,2010,0
California,2011,0
California,2012,0
California,2013,0
California,2014,1
California,2015,1
California,2016,1
California,2017,0
California,2018,0
California,2019,0
California,2020,1
California,2021,0
California,2022,1
Colorado,2010,0
Colorado,2011,0
Colorado,2012,0
Colorado,2013,0
Colorado,2014,0
Colorado,2015,1
Colorado,2016,1
Colorado,2017,1
Colorado,2018,1
Colorado,2019,1
Colorado,2020,1
Colorado,2021,1
Colorado,2022,0
Connecticut,2010,0
Connecticut,2011,0
Connecticut,2012,0
Connecticut,2013,0
Connecticut,2014,0
Connecticut,2015,1
Connecticut,2016,1
Connecticut,2017,1
Connecticut,2018,1
Connecticut,2019,0
Connecticut,2020,0
Connecticut,2021,0
Connecticut,2022,0
Delaware,2010,0
Delaware,2011,0
Delaware,2012,0
Delaware,2013,0
Delaware,2014,1
Delaware,2015,0
Delaware,2016,0
Delaware,2017,1
Delaware,2018,1
Delaware,2019,0
Delaware,2020,0
Delaware,2021,1
Delaware,2022,0
District of Columbia,2010,0
District of Columbia,2011,0
District of Columbia,2012,0
District of Columbia,2013,0
District of Columbia,2014,0
District of Columbia,2015,0
District of Columbia,2016,0
District of Columbia,2017,1
District of Columbia,2018,0
District of Columbia,2019,1
District of Columbia,2020,0
District of Columbia,2021,1
District of Columbia,2022,0
Florida,2010,0
Florida,2011,0
Florida,2012,0
Florida,2013,0
Florida,2014,0
Florida,2015,0
Florida,2016,1
Florida,2017,1
Florida,2018,0
Florida,2019,0
Florida,2020,0
Florida,2021,0
Florida,2022,0
Georgia,2010,0
Georgia,2011,0
Georgia,2012,0
Georgia,2013,0
Georgia,2014,1
Georgia,2015,0
Georgia,2016,0
Georgia,2017,1
Georgia,2018,0
Georgia,2019,0
Georgia,2020,0
Georgia,2021,0
Georgia,2022,0
Hawaii,2010,0
Hawaii,2011,0
Hawaii,2012,0
Hawaii,2013,0
Hawaii,2014,0
Hawaii,2015,0
Hawaii,2016,1
Hawaii,2017,1
Hawaii,2018,1
Hawaii,2019,1
Hawaii,2020,0
Hawaii,2021,0
Hawaii,2022,0
Idaho,2010,0
Idaho,2011,0
Idaho,2012,0
Idaho,2013,0
Idaho,2014,0
Idaho,2015,1
Idaho,2016,1
Idaho,2017,1
Idaho,2018,1
Idaho,2019,1
Idaho,2020,1
Idaho,2021,1
Idaho,2022,0
Illinois,2010,1
Illinois,2011,0
Illinois,2012,0
Illinois,2013,0
Illinois,2014,0
Illinois,2015,1
Illinois,2016,1
Illinois,2017,1
