Jurisdictions,Effective Date,Valid Through Date,naaddressoaayn,nahealthcrimproyn,nanapimm1yn,narcimm1yn,nahealthcivliayn,nanapimm2yn,narcimm2yn,naloxone-presprof,naloxone-dispcrim,naloxone-dcrimpro,naloxone-dcrimcare,naloxone-dispciv,naloxone-dcivprog,naloxone-dcivcare,naloxone-presprof-disp,naloxone-thirdparty,naloxone-thirdprog,naloxone-thirdcare,pharmacist-dispensing,pharmacist-dispensing-method_Standing order,pharmacist-dispensing-method_Protocol order,pharmacist-dispensing-method_Naloxone-specific collaborative practice agreement,pharmacist-dispensing-method_Pharmacist prescriptive authority,pharmacist-dispensing-method_Directly authorized by legislature,naimmcrimprolpyn,nanapimm3yn,narcimm3yn,naimmcivlialpyn,nanapimm4yn,narcimm4yn,naloxone-crimpossesion,naloxone-crimpossessionprog,crim-possess-reasonable
Alabama,1/1/2001,6/7/2015,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alabama,6/8/2015,5/9/2016,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,.,.
Alabama,5/10/2016,1/1/2022,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,.,.
Alaska,1/1/2001,3/14/2016,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alaska,3/15/2016,3/21/2017,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,3/22/2017,7/16/2017,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,7/17/2017,7/25/2017,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,7/26/2017,7/24/2018,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,7/25/2018,12/31/2018,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,1/1/2019,6/30/2019,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,7/1/2019,6/29/2021,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Alaska,6/30/2021,1/1/2022,1,0,.,.,1,0,0,0,0,.,.,1,0,0,0,1,0,0,1,1,1,0,0,0,0,.,.,1,0,0,0,.,.
Arizona,1/1/2001,8/5/2016,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
