"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2010","2010",194,4779736,4.1
,"Alabama","01","2011","2011",180,4802740,3.7
,"Alabama","01","2012","2012",175,4822023,3.6
,"Alabama","01","2013","2013",175,4833722,3.6
,"Alabama","01","2014","2014",282,4849377,5.8
,"Alabama","01","2015","2015",292,4858979,6.0
,"Alabama","01","2016","2016",351,4863300,7.2
,"Alabama","01","2017","2017",434,4874747,8.9
,"Alabama","01","2018","2018",392,4887871,8.0
,"Alabama","01","2019","2019",427,4903185,8.7
,"Alabama","01","2020","2020",629,4921532,12.8
,"Alaska","02","2010","2010",71,710231,10.0
,"Alaska","02","2011","2011",72,722718,10.0
,"Alaska","02","2012","2012",81,731449,11.1
,"Alaska","02","2013","2013",69,735132,9.4
,"Alaska","02","2014","2014",79,736732,10.7
,"Alaska","02","2015","2015",92,738432,12.5
,"Alaska","02","2016","2016",101,741894,13.6
,"Alaska","02","2017","2017",109,739795,14.7
,"Alaska","02","2018","2018",82,737438,11.1
,"Alaska","02","2019","2019",100,731545,13.7
,"Alaska","02","2020","2020",123,731158,16.8
,"Arizona","04","2010","2010",650,6392017,10.2
,"Arizona","04","2011","2011",596,6482505,9.2
,"Arizona","04","2012","2012",565,6553255,8.6
,"Arizona","04","2013","2013",545,6626624,8.2
,"Arizona","04","2014","2014",616,6731484,9.2
,"Arizona","04","2015","2015",701,6828065,10.3
,"Arizona","04","2016","2016",806,6931071,11.6
,"Arizona","04","2017","2017",970,7016270,13.8
,"Arizona","04","2018","2018",1159,7171646,16.2
,"Arizona","04","2019","2019",1324,7278717,18.2
,"Arizona","04","2020","2020",1952,7421401,26.3
,"Arkansas","05","2010","2010",198,2915918,6.8
,"Arkansas","05","2011","2011",176,2937979,6.0
,"Arkansas","05","2012","2012",181,2949131,6.1
,"Arkansas","05","2013","2013",175,2959373,5.9
,"Arkansas","05","2014","2014",179,2966369,6.0
,"Arkansas","05","2015","2015",208,2978204,7.0
,"Arkansas","05","2016","2016",175,2988248,5.9
,"Arkansas","05","2017","2017",200,3004279,6.7
,"Arkansas","05","2018","2018",217,3013825,7.2
,"Arkansas","05","2019","2019",208,3017804,6.9
,"Arkansas","05","2020","2020",292,3030522,9.6
,"California","06","2010","2010",2059,37253956,5.5
,"California","06","2011","2011",2057,37691912,5.5
,"California","06","2012","2012",1847,38041430,4.9
,"California","06","2013","2013",2088,38332521,5.4
,"California","06","2014","2014",2159,38802500,5.6
,"California","06","2015","2015",2130,39144818,5.4
,"California","06","2016","2016",2146,39250017,5.5
,"California","06","2017","2017",2341,39536653,5.9
,"California","06","2018","2018",2544,39557045,6.4
,"California","06","2019","2019",3364,39512223,8.5
,"California","06","2020","2020",5664,39368078,14.4
,"Colorado","08","2010","2010",325,5029196,6.5
,"Colorado","08","2011","2011",423,5116796,8.3
,"Colorado","08","2012","2012",415,5187582,8.0
,"Colorado","08","2013","2013",443,5268367,8.4
,"Colorado","08","2014","2014",532,5355866,9.9
,"Colorado","08","2015","2015",512,5456574,9.4
,"Colorado","08","2016","2016",560,5540545,10.1
,"Colorado","08","2017","2017",600,5607154,10.7
,"Colorado","08","2018","2018",602,5695564,10.6
,"Colorado","08","2019","2019",676,5758736,11.7
,"Colorado","08","2020","2020",1012,5807719,17.4
,"Connecticut","09","2010","2010",225,3574097,6.3
,"Connecticut","09","2011","2011",213,3580709,5.9
,"Connecticut","09","2012","2012",202,3590347,5.6
